"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"SHRIRAMFIN",1036,1067.4,1031,1035.4,1064.1,2.77,7633092,8086192341.12,"03-Jul-2026"
"BAJAJFINSV",1855,1904.8,1850.4,1861.5,1900.7,2.11,1668696,3150831787.2,"30-Jun-2026"
"EICHERMOT",7590,7710,7565,7563.5,7694,1.73,451075,3443204329.75,"01-Aug-2025"
"ULTRACEMCO",12070,12126,11926,11903,12075,1.45,830840,10008448191.2,"25-Jul-2025"
"HCLTECH",1219,1240.7,1217.2,1221.3,1238.9,1.44,4642320,5724305522.4,"17-Jul-2026"
"M&M",3153.8,3212,3143,3165.5,3210,1.41,1776773,5649054308.47,"03-Jul-2026"
"INDIGO",5249,5325,5234,5229,5287,1.11,920977,4874639163.3,"13-Aug-2025"
"KOTAKBANK",383,386.95,381.05,382.05,386,1.03,17152911,6597867216.15,"17-Jul-2026"
"JSWSTEEL",1259,1271.4,1252,1257,1268.8,0.94,1941639,2459144042.67,"07-Jul-2026"
"TITAN",4644.2,4691.7,4629.2,4643.4,4687.1,0.94,530094,2474409879.78,"09-Jul-2026"
"MARUTI",13520,13655,13348,13514,13640,0.93,341101,4591656069.28,"07-Aug-2026"
"GRASIM",3150.1,3195.1,3135.6,3143.8,3170,0.83,659160,2088225471.6,"07-Aug-2026"
"HINDALCO",944.15,956.3,941,947.8,955,0.76,4965762,4707393403.14,"10-Jul-2026"
"JIOFIN",239.48,241.2,236.71,238.92,240.55,0.68,17460387,4166572149.81,"11-Aug-2025"
"NESTLEIND",1451.5,1464.4,1447,1446.3,1456,0.67,1657756,2409763854.28,"10-Jul-2026"
"BAJFINANCE",1064,1074.4,1060.9,1064,1071,0.66,6970658,7447520713.78,"30-Jun-2026"
"TATASTEEL",186.75,188.1,184.7,186.41,187.3,0.48,21618426,4030323159.18,"12-Jun-2026"
"BEL",408.15,410.95,406.5,408.15,410.1,0.48,5242231,2142237698.15,"06-Mar-2026"
"BHARTIARTL",1946.4,1952,1938.7,1940.1,1949,0.46,5061312,9852299326.08,"24-Jul-2026"
"COALINDIA",429.95,433.2,429.15,429.4,431,0.37,4612497,1990384705.44,"18-Feb-2026"